mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.005907750129699707,0.0003108573710632251,0.001724410057067871,6.007675595088614e-05,10,4,3,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.6875,0.675,0.6375,0.675,0.775,0.675,0.7375,0.6375,0.7125,0.5625,0.6775,0.05556527692723219,115
0.00816795825958252,7.192566947246505e-05,0.0018649578094482421,2.311499786258473e-05,10,4,5,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.7,0.7375,0.575,0.7125,0.7,0.7125,0.7125,0.6875,0.7125,0.6,0.6849999999999999,0.05055937104039173,109
0.0147658109664917,0.0006272170962317109,0.0025962352752685546,0.0005146156776682278,10,4,10,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.6875,0.725,0.6,0.675,0.8125,0.75,0.7875,0.7125,0.7375,0.6875,0.7175,0.057336724705898574,56
0.032822036743164064,0.0008223778390786567,0.0035341501235961912,0.0001980781512129576,10,4,25,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.675,0.7125,0.625,0.725,0.7875,0.8375,0.8125,0.7,0.7875,0.6625,0.7324999999999999,0.06689544080129826,21
0.06295058727264405,0.0014734264232193622,0.005329585075378418,0.00016657865927135,10,4,50,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.6625,0.725,0.6375,0.7,0.775,0.8125,0.8125,0.7625,0.7625,0.6875,0.7337499999999999,0.05783867650629638,18
0.18113958835601807,0.0026018944780165526,0.012587928771972656,0.00037490651332401447,10,4,150,"{'RF__max_depth': 10, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.675,0.725,0.6375,0.6875,0.7625,0.7875,0.825,0.7625,0.725,0.7125,0.7299999999999999,0.05309190145398824,29
0.006243181228637695,0.00010293735889034682,0.0017754316329956054,6.779888722795174e-05,10,7,3,"{'RF__max_depth': 10, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.6125,0.6,0.5625,0.6,0.625,0.7,0.7875,0.725,0.7,0.65,0.6562500000000001,0.06620281338432679,119
0.008702301979064941,0.00013500124198941317,0.00190427303314209,3.777809156018573e-05,10,7,5,"{'RF__max_depth': 10, 'RF__max_features': 7, 'RF__n_estimators': 5}",0.6125,0.6,0.6125,0.6125,0.65,0.7375,0.75,0.725,0.75,0.6375,0.6687500000000001,0.06053150006401625,118
0.015396976470947265,0.00034605822637847456,0.002451920509338379,0.0001994634526574332,10,7,10,"{'RF__max_depth': 10, 'RF__max_features': 7, 'RF__n_estimators': 10}",0.6875,0.725,0.65,0.625,0.7375,0.8125,0.825,0.775,0.7125,0.6375,0.7187500000000001,0.06690711845536318,53
0.03515846729278564,0.0011201867362756453,0.003581595420837402,0.00021606975060176067,10,7,25,"{'RF__max_depth': 10, 'RF__max_features': 7, 'RF__n_estimators': 25}",0.6875,0.6875,0.65,0.6625,0.75,0.8375,0.825,0.7375,0.725,0.6625,0.7224999999999999,0.06294839156007086,46
